,model_name,random_seed,num_events_train,nll_test,loglike_test
0,RecurrentTPP,4.0,778,-87.51456451416016,87.51456451416016
1,RecurrentTPP,3.0,778,-88.06827545166016,88.06827545166016
2,RecurrentTPP,1.0,778,-88.05836486816406,88.05836486816406
3,RecurrentTPP,0.0,778,-88.11152648925781,88.11152648925781
4,RecurrentTPP,2.0,778,-87.88775634765625,87.88775634765625
5,RecurrentTPP,4.0,1320,-88.22306823730469,88.22306823730469
6,RecurrentTPP,2.0,1320,-88.15556335449219,88.15556335449219
7,RecurrentTPP,1.0,1320,-87.84290313720703,87.84290313720703
8,RecurrentTPP,0.0,1320,-87.54151916503906,87.54151916503906
9,RecurrentTPP,3.0,1320,-87.97895050048828,87.97895050048828
10,RecurrentTPP,4.0,2301,-88.18189239501953,88.18189239501953
11,RecurrentTPP,3.0,2301,-88.2000961303711,88.2000961303711
12,RecurrentTPP,1.0,2301,-88.28404998779297,88.28404998779297
13,RecurrentTPP,0.0,2301,-88.52217864990234,88.52217864990234
14,RecurrentTPP,2.0,2301,-88.6949691772461,88.6949691772461
15,RecurrentTPP,0.0,4019,-88.35173034667969,88.35173034667969
16,RecurrentTPP,4.0,4019,-88.64109802246094,88.64109802246094
17,RecurrentTPP,3.0,4019,-88.56521606445312,88.56521606445312
18,RecurrentTPP,2.0,4019,-88.37109375,88.37109375
19,RecurrentTPP,1.0,4019,-88.38312530517578,88.38312530517578
20,RecurrentTPP,1.0,6694,-88.79423522949219,88.79423522949219
21,RecurrentTPP,2.0,6694,-88.8221435546875,88.8221435546875
22,RecurrentTPP,3.0,6694,-88.70760345458984,88.70760345458984
23,RecurrentTPP,4.0,6694,-88.95307922363281,88.95307922363281
24,RecurrentTPP,0.0,6694,-88.59972381591797,88.59972381591797
25,RecurrentTPP,4.0,12190,-89.06017303466797,89.06017303466797
26,RecurrentTPP,0.0,12190,-88.221923828125,88.221923828125
27,RecurrentTPP,1.0,12190,-88.74134063720703,88.74134063720703
28,RecurrentTPP,2.0,12190,-89.13695526123047,89.13695526123047
29,RecurrentTPP,3.0,12190,-88.97083282470703,88.97083282470703
30,RecurrentTPP,0.0,21321,-89.17897033691406,89.17897033691406
31,RecurrentTPP,1.0,21321,-89.41596984863281,89.41596984863281
32,RecurrentTPP,2.0,21321,-89.35216522216797,89.35216522216797
33,RecurrentTPP,3.0,21321,-89.54358673095703,89.54358673095703
34,RecurrentTPP,4.0,21321,-89.51851654052734,89.51851654052734
35,RecurrentTPP,4.0,33673,-89.50224304199219,89.50224304199219
36,RecurrentTPP,3.0,33673,-89.53165435791016,89.53165435791016
37,RecurrentTPP,2.0,33673,-89.39558410644531,89.39558410644531
38,RecurrentTPP,1.0,33673,-89.51411437988281,89.51411437988281
39,RecurrentTPP,0.0,33673,-89.37056732177734,89.37056732177734
40,RecurrentTPP,1.0,54901,-89.61244201660156,89.61244201660156
41,RecurrentTPP,0.0,54901,-89.44737243652344,89.44737243652344
42,RecurrentTPP,4.0,54901,-89.60396575927734,89.60396575927734
43,RecurrentTPP,3.0,54901,-89.55719757080078,89.55719757080078
44,RecurrentTPP,2.0,54901,-89.44157409667969,89.44157409667969
45,RecurrentTPP,2.0,85662,-89.57947540283203,89.57947540283203
46,RecurrentTPP,1.0,85662,-89.6255111694336,89.6255111694336
47,RecurrentTPP,0.0,85662,-89.47657012939453,89.47657012939453
48,RecurrentTPP,4.0,85662,-89.58396911621094,89.58396911621094
49,RecurrentTPP,3.0,85662,-89.60562896728516,89.60562896728516
50,ETAS,0.0,778,-86.25646916412754,86.25646916412754
51,ETAS,0.0,1320,-88.58471254430721,88.58471254430721
52,ETAS,0.0,2301,-88.6632594751822,88.6632594751822
53,ETAS,0.0,4019,-89.12602024404906,89.12602024404906
54,ETAS,0.0,6694,-88.87135591505036,88.87135591505036
55,ETAS,0.0,12190,-89.03130894696483,89.03130894696483
56,ETAS,0.0,21321,-88.96920646367907,88.96920646367907
57,ETAS,0.0,33673,-89.12354986807672,89.12354986807672
58,ETAS,0.0,54901,-89.23245512968879,89.23245512968879
59,ETAS,0.0,85662,-89.29388630930337,89.29388630930337
