,model_name,random_seed,num_events_train,nll_test,loglike_test
0,RecurrentTPP,4.0,679,0.12031088769435883,-0.12031088769435883
1,RecurrentTPP,3.0,679,0.12111296504735947,-0.12111296504735947
2,RecurrentTPP,2.0,679,0.11959072947502136,-0.11959072947502136
3,RecurrentTPP,1.0,679,0.12173861265182495,-0.12173861265182495
4,RecurrentTPP,0.0,679,0.11993364989757538,-0.11993364989757538
5,RecurrentTPP,4.0,1054,0.12046666443347931,-0.12046666443347931
6,RecurrentTPP,3.0,1054,0.11945866048336029,-0.11945866048336029
7,RecurrentTPP,2.0,1054,0.11958377808332443,-0.11958377808332443
8,RecurrentTPP,1.0,1054,0.12074535340070724,-0.12074535340070724
9,RecurrentTPP,0.0,1054,0.11982713639736176,-0.11982713639736176
10,RecurrentTPP,4.0,1869,0.12105687707662582,-0.12105687707662582
11,RecurrentTPP,3.0,1869,0.11960708349943161,-0.11960708349943161
12,RecurrentTPP,1.0,1869,0.11944395303726196,-0.11944395303726196
13,RecurrentTPP,0.0,1869,0.11913342773914337,-0.11913342773914337
14,RecurrentTPP,2.0,1869,0.12148410826921463,-0.12148410826921463
15,RecurrentTPP,3.0,3111,0.12001999467611313,-0.12001999467611313
16,RecurrentTPP,2.0,3111,0.1188894510269165,-0.1188894510269165
17,RecurrentTPP,1.0,3111,0.1201617419719696,-0.1201617419719696
18,RecurrentTPP,0.0,3111,0.11920775473117828,-0.11920775473117828
19,RecurrentTPP,4.0,3111,0.11945176869630814,-0.11945176869630814
20,RecurrentTPP,1.0,5075,0.11953545361757278,-0.11953545361757278
21,RecurrentTPP,4.0,5075,0.1190558448433876,-0.1190558448433876
22,RecurrentTPP,0.0,5075,0.11951878666877747,-0.11951878666877747
23,RecurrentTPP,2.0,5075,0.11904426664113998,-0.11904426664113998
24,RecurrentTPP,3.0,5075,0.11901400238275528,-0.11901400238275528
25,RecurrentTPP,0.0,8486,0.11907699704170227,-0.11907699704170227
26,RecurrentTPP,3.0,8486,0.1190880835056305,-0.1190880835056305
27,RecurrentTPP,1.0,8486,0.11921373754739761,-0.11921373754739761
28,RecurrentTPP,4.0,8486,0.11929347366094589,-0.11929347366094589
29,RecurrentTPP,2.0,8486,0.11910597234964371,-0.11910597234964371
30,RecurrentTPP,4.0,14348,0.11862607300281525,-0.11862607300281525
31,RecurrentTPP,1.0,14348,0.11853086203336716,-0.11853086203336716
32,RecurrentTPP,0.0,14348,0.11879006028175354,-0.11879006028175354
33,RecurrentTPP,2.0,14348,0.11856014281511307,-0.11856014281511307
34,RecurrentTPP,3.0,14348,0.11857230216264725,-0.11857230216264725
35,RecurrentTPP,0.0,24226,0.11845996230840683,-0.11845996230840683
36,RecurrentTPP,1.0,24226,0.1184103861451149,-0.1184103861451149
37,RecurrentTPP,3.0,24226,0.11856822669506073,-0.11856822669506073
38,RecurrentTPP,2.0,24226,0.11861394345760345,-0.11861394345760345
39,RecurrentTPP,4.0,24226,0.11850730329751968,-0.11850730329751968
40,RecurrentTPP,2.0,40432,0.11838234961032867,-0.11838234961032867
41,RecurrentTPP,1.0,40432,0.1183416023850441,-0.1183416023850441
42,RecurrentTPP,0.0,40432,0.11841808259487152,-0.11841808259487152
43,RecurrentTPP,3.0,40432,0.11839523166418076,-0.11839523166418076
44,RecurrentTPP,4.0,40432,0.11841735243797302,-0.11841735243797302
45,RecurrentTPP,4.0,67421,0.11831165850162506,-0.11831165850162506
46,RecurrentTPP,3.0,67421,0.11842453479766846,-0.11842453479766846
47,RecurrentTPP,2.0,67421,0.11836227029561996,-0.11836227029561996
48,RecurrentTPP,1.0,67421,0.11834846436977386,-0.11834846436977386
49,RecurrentTPP,0.0,67421,0.1183566078543663,-0.1183566078543663
50,ETAS,0.0,679,0.11818305426708091,-0.11818305426708091
51,ETAS,0.0,1054,0.11818305426708091,-0.11818305426708091
52,ETAS,0.0,1869,0.11818305426708091,-0.11818305426708091
53,ETAS,0.0,3111,0.11818305426708091,-0.11818305426708091
54,ETAS,0.0,5075,0.11818305426708091,-0.11818305426708091
55,ETAS,0.0,8486,0.11818305426708091,-0.11818305426708091
56,ETAS,0.0,14348,0.11818305426708091,-0.11818305426708091
57,ETAS,0.0,24226,0.11818305426708091,-0.11818305426708091
58,ETAS,0.0,40432,0.11818305426708091,-0.11818305426708091
59,ETAS,0.0,67421,0.11818305426708091,-0.11818305426708091
